,words,count
299,fridge,1092
300,common,1180
301,bathrooms,628
302,facilities,554
303,enough,2603
304,space,5373
305,perfect,10764
306,awesome,2601
307,definately,105
308,exactly,4039
309,pictured,768
310,frills,76
311,adequate,247
312,needs,1835
313,street,5495
314,parking,4331
315,nearly,134
316,impossible,96
317,find,2866
318,cant,1221
319,expect,591
320,others,817
321,having,1715
322,getting,2194
323,easy,12948
324,fast,836
325,whole,1944
326,offering,218
327,needed,6920
328,definetly,63
329,izzy,418
330,clear,1407
331,instructions,1848
332,problems,790
333,entering,114
334,because,2626
335,flight,1215
336,taxi,403
337,cost,288
338,dolars,1
339,shuttle,250
340,confortable,567
341,thing,1238
342,arrive,480
343,read,241
344,waiting,549
345,hour,581
346,left,2792
347,spent,1144
348,nights,2077
349,shared,1177
350,happened,130
351,some,5630
352,interesting,857
353,chat,363
354,colombian,5
355,detailed,633
356,directions,1201
357,mentions,18
358,somehow,41
359,missed,150
360,detail,362
361,narrow,293
362,stairs,1010
363,leading,201
364,down,1844
365,hard,591
366,carry,188
367,bags,667
368,unfortunately,628
369,traveling,805
370,heavy,202
371,east,290
372,convenient,6005
373,late,2560
374,checkin,1647
375,described,4011
376,its,6269
377,reply,234
378,request,462
379,thorough,225
380,related,53
381,finding,466
382,loved,3989
383,convenience,553
384,werent,313
385,familiar,113
386,landed,65
387,night,5617
388,travel,1148
389,follow,258
390,complicated,42
391,although,1824
392,never,1977
393,facetoface,7
394,contact,1073
395,else,682
396,brief,242
397,overnight,363
398,assured,59
399,still,1078
400,edge,63
401,nonetheless,58
402,without,1304
403,incident,21
404,restful,65
405,sleep,1516
406,before,4098
407,launching,19
408,next,4320
409,day,1578
410,posted,106
411,super,4927
412,meet,2604
413,spanish,26
414,speaking,54
415,disgusting,51
416,smelted,1
417,mold,48
418,dirty,517
419,cleaned,414
420,either,461
421,friend,1223
422,leave,1209
423,right,4935
424,dryer,505
425,washer,283
426,usable,41
427,assistant,161
428,washed,54
429,other,4083
430,morning,2764
431,hear,605
432,fight,17
433,nothing,658
434,defenetly,4
435,expensive,355
436,nasty,17
437,chance,815
438,thought,736
439,system,554
440,done,482
441,smoothly,372
442,upon,971
443,lock,480
444,flexibility,120
445,whatever,177
446,ive,726
447,less,1067
448,ride,1307
449,homely,154
450,friends,1648
451,amazing,4039
452,hidden,520
453,restaurants,7018
454,proximity,488
455,key,247
456,complaints,305
457,setup,181
458,izzys,164
459,days,3248
460,make,3739
461,mixer,2
462,cellar,17
463,therefore,125
464,private,2170
465,heard,208
466,screaming,17
467,shouting,7
468,calm,286
469,decent,329
470,rundown,46
471,around,6145
472,cosy,687
473,impressed,226
474,selections,9
475,annoyed,8
476,honest,124
477,chose,237
478,most,2865
479,meant,144
480,ones,141
481,bottom,137
482,floor,2322
483,ours,82
484,channels,98
485,frustrated,11
486,mess,56
487,until,765
488,apparently,84
489,coming,984
490,decided,219
491,different,729
492,checkout,701
493,goes,281
494,local,1774
495,shops,2173
496,enjoy,1249
497,frustrating,41
498,elements,12
499,willing,476
500,book,1245
501,notice,333
502,theres,942
503,cafe,291
504,blocks,1455
505,breakfast,3498
506,realize,94
507,spooky,3
508,quiet,6716
509,public,3046
510,transportation,2278
511,here,8039
512,pleasing,23
513,flew,68
514,into,3399
515,concert,92
516,straight,228
517,forward,534
518,reach,736
519,enter,224
520,readily,187
521,available,3100
522,phone,712
523,text,708
524,whenever,392
525,small,3462
526,heart,1089
527,citys,33
528,ever,1613
529,been,2956
530,issys,1
531,everybody,92
532,actually,912
533,several,1161
534,improve,68
535,perhaps,157
536,youngadventurous,1
537,side,556
538,spectrum,2
539,sign,58
540,said,889
541,process,978
542,renovations,34
543,think,1055
544,second,1032
545,noisy,700
546,evenings,190
547,lowerground,1
548,quieter,47
549,keep,691
550,accessible,1198
551,winding,30
552,futon,148
553,style,297
554,bed,1834
555,prompt,718
556,message,323
557,responses,208
558,midday,9
559,streets,438
560,filled,295
561,parkeddouble,1
562,parked,191
563,cars,124
564,5pm,7
565,fairly,386
566,short,4034
567,blue,361
568,line,3351
569,touch,930
570,gets,261
571,does,591
572,hot,158
573,ethnic,15
574,makes,1017
575,uncomfortable,312
576,elsewhere,92
577,lockbox,138
578,secure,342
579,traveler,219
580,myself,572
581,early,1944
582,logan,413
583,effective,54
584,option,355
585,beat,516
586,information,2184
587,hang,347
588,reservation,1435
589,additional,239
590,agree,58
591,many,3005
592,positive,475
593,reviews,437
594,tstation,118
595,describe,127
596,started,177
597,bit,95
598,eg,78
599,spacious,4271
600,including,1073
601,inventoryand,1
602,whats,76
603,greasy,12
604,change,296
605,three,1125
606,isnt,437
607,hotel,1686
608,guests,2130
609,responsible,64
610,cleanliness,334
611,cleaning,521
612,fee,61
613,regular,127
614,basis,27
615,accommodation,736
616,premises,38
617,mirror,84
618,stand,98
619,appreciated,1645
620,warm,2635
621,welcome,3207
622,experienced,177
623,locations,249
624,connected,183
625,services,128
626,check,3986
627,lots,2557
628,environment,259
629,hes,310
630,answered,955
631,immediately,818
632,need,4745
633,had,800
634,seems,371
635,description,1460
636,sheets,704
637,towels,2207
638,benefitted,2
639,august,71
640,powerful,41
641,okay,301
642,sweet,859
643,personally,333
644,together,383
645,visiting,1751
646,appears,157
647,sketchy,100
648,through,1471
649,listing,2175
650,helped,1622
651,tracks,13
652,took,1666
653,environmenti,1
654,bath,712
655,usually,182
656,blocked,28
657,wait,476
658,long,1529
659,thank,3850
660,nora,7
661,hannah,70
662,maison,469
663,située,65
664,dans,880
665,était,493
666,sympathique,101
667,propre,370
668,loin,73
669,métro,441
670,arrêt,14
671,cuisine,176
672,bien,1188
673,équipée,43
674,avec,521
675,lave,9
676,vaisselle,25
677,micro,8
678,ondes,2
679,cafetière,7
680,autres,50
681,chambre,442
682,sous,39
683,bassement,1
684,grande,148
685,literie,32
686,rangements,3
687,situation,321
688,permet,40
689,laccès,27
690,personnes,80
691,mobilité,1
692,réduite,1
693,escaliers,5
694,nous,1954
695,avons,590
696,passé,169
697,nuits,45
698,agréables,19
699,quartier,555
700,plutôt,34
701,calme,220
702,try,79
703,bandeja,1
704,paisa,4
705,penol,1
706,lastminute,60
707,customer,91
708,service,712
709,fanciest,8
710,world,268
711,budget,189
712,since,1755
713,rented,389
714,travelers,338
715,first,5421
716,within,3372
717,was,389
718,choice,599
719,roommate,252
720,condition,384
721,url,311
722,reactive,25
723,kamer,24
724,wordt,2
725,verhuurd,1
726,selfcheck,10
727,systeem,2
728,betekent,1
729,tijdens,3
730,verblijf,8
731,niet,38
732,hebben,20
733,ontmoet,2
734,werkte,2
735,prima,47
736,zoals,4
737,foto,52
738,alleen,8
739,stond,5
740,haaks,1
741,muur,1
742,huis,25
743,bevindt,2
744,zich,4
745,latijnsamerikaanse,1
746,buurt,22
747,makkelijk,3
748,bereiken,4
749,vanaf,2
750,metrostation,15
751,bent,21
752,binnen,3
753,paar,30
754,haltes,1
755,centrum,16
756,enige,2
757,minpunt,2
758,locatie,8
759,altijd,1
760,moet,4
761,gebruiken,5
762,naar,14
763,lopen,5
764,laundry,640
765,charge,106
766,pictures,2099
767,displayed,27
768,walked,1133
769,bedroom,2687
770,booked,805
771,tofind,1
772,alright,63
773,total,163
774,sharing,443
775,leaving,510
776,instruction,143
777,downside,250
778,washroom,42
779,sometimes,199
780,barely,110
781,issues,929
782,vacation,385
783,cheers,106
784,especially,1465
785,prior,660
786,winner,12
787,access,3561
788,taken,361
789,care,845
790,despite,485
791,being,2492
792,situated,598
793,shelving,10
794,wished,150
795,advertised,1183
796,checking,787
797,take,1797
798,beware,65
799,bright,693
800,bad,170
801,spot,1711
802,driving,285
803,cooked,184
804,delicious,837
805,apartment,28310
806,cozy,3693
807,offered,1105
808,various,216
809,coffee,3161
810,chocolate,168
811,fruit,453
812,bread,236
813,etc,1949
814,feels,350
815,opened,192
816,mistakenly,5
817,closed,202
818,italian,522
819,seafood,49
820,rinos,15
821,beyond,693
822,ordered,39
823,mussels,2
824,lobster,31
825,ravioli,1
826,and,913
827,block,1113
828,transport,1007
829,buses,303
830,subways,66
831,ill,526
832,occupied,61
833,11pm,47
834,each,1080
835,nevertheless,70
836,addition,308
837,along,679
838,large,1893
839,perfectly,1329
840,transit,912
841,mexican,60
842,corner,1295
843,angelas,41
844,controllable,2
845,heater,246
846,adjust,46
847,temperature,188
848,genuine,88
849,interest,186
850,absolutely,2295
851,beforehand,112
852,welcoming,4810
853,given,625
854,gone,159
855,love,1836
856,catch,275
857,crash,238
858,stop,2047
859,nicely,918
860,appointed,596
861,idea,131
862,earlier,351
863,week,1115
864,returned,190
865,going,1675
866,work,2061
867,business,750
868,believe,200
869,considered,67
870,nature,66
871,separate,294
872,rest,783
873,wellmaintained,58
874,strongly,323
875,sense,173
876,rosie,18
877,baked,181
878,breadless,1
879,cake,111
880,yogurt,111
881,frosting,2
882,chips,16
883,top,91
884,trips,244
885,future,1193
886,beautiful,6353
887,1015,233
888,freely,27
889,visit,3873
890,formally,3
891,met,175
892,mentioned,387
893,acogedora,20
894,cerca,167
895,menos,26
896,minutos,80
897,andando,25
898,parada,10
899,donde,50
900,coge,1
901,gratis,6
902,cierto,9
903,aeropuerto,29
904,estaba,115
905,neverita,1
906,calentita,1
907,espaciosa,10
908,además,54
909,piso,37
910,abajo,1
911,teníamos,13
912,intimidad,1
913,pero,180
914,facilitó,4
915,toda,34
916,información,33
917,para,511
918,entrar,12
919,problemas,15
920,esos,2
921,días,40
922,tenía,26
923,habitaciones,21
924,ocupadas,1
925,otros,17
926,huéspedes,14
927,única,9
928,pega,3
929,como,237
930,solo,166
931,baño,89
932,había,36
933,cola,1
934,ducharse,1
935,primera,23
936,hora,24
937,mañana,11
938,todo,333
939,demás,11
940,genial,32
941,plan,600
942,give,970
943,immediate,151
944,response,349
945,technical,24
946,throughout,928
947,snow,183
948,storm,72
949,south,1555
950,sensitive,184
951,contents,98
952,taught,15
953,silver,158
954,considering,264
955,far,150
956,excessive,12
957,difficult,488
958,pathways,2
959,steps,782
960,climb,141
961,evening,968
962,shoveled,8
963,homey,358
964,comfy,1802
965,main,902
966,attractions,780
967,ready,983
968,answer,703
969,plenty,2339
970,privacy,993
971,trouble,455
972,park,2122
973,10minute,51
974,anyway,203
975,cultures,13
976,pharmacy,88
977,grocery,851
978,shop,449
979,cafés,82
980,present,134
981,surprises,95
982,guy,319
983,laid,266
984,between,533
985,unnerving,7
986,gracious,1126
987,generous,570
988,flexible,1453
989,facets,2
990,able,2924
991,whod,6
992,another,1222
993,solid,75
994,aware,332
995,amongst,31
996,numerous,137
997,youre,1470
998,potentially,10
999,planned,240
1000,spontaneous,8
1001,iyyz,1
1002,jms,1
1003,direction,192
1004,explained,254
1005,once,905
1006,fount,4
1007,welldecorated,41
1008,personal,449
1009,note,630
1010,further,283
1011,entire,795
1012,airbnbers,40
1013,polite,270
1014,happy,1360
1015,certainly,824
1016,everyone,713
1017,doesnt,382
1018,spend,849
1019,fortune,19
1020,hotels,421
1021,wellfurnished,24
1022,self,165
1023,livingroom,24
1024,wellorganized,39
1025,greatizzy,1
1026,advertized,10
1027,reluctant,14
1028,negative,266
1029,feedback,88
1030,izzi,1
1031,running,387
1032,operation,19
1033,consistent,25
1034,values,14
1035,implicit,1
1036,community,278
1037,live,794
1038,lives,295
1039,state,197
1040,caretaker,25
1041,changing,79
1042,keeping,133
1043,essence,5
1044,security,113
1045,hostel,167
1046,management,138
1047,deal,787
1048,contingencies,1
1049,intimate,28
1050,proprietor,4
1051,relying,7
1052,generally,187
1053,character,401
1054,untoward,3
1055,occurs,2
1056,chances,15
1057,occur,7
1058,exposure,4
1059,happening,60
1060,sort,119
1061,residential,417
1062,compromising,4
1063,coherency,1
1064,riding,33
1065,infrastructure,5
1066,legitimate,4
1067,who,50
1068,taxes,6
1069,liability,3
1070,insurance,3
1071,employment,2
1072,commercial,60
1073,fees,35
1074,paying,102
1075,these,472
1076,for,867
1077,america,34
1078,entrepreneurial,2
1079,enterprise,5
1080,rewarded,4
1081,mean,81
1082,concentrating,1
1083,efforts,37
1084,profit,4
1085,centers,22
1086,externalizing,2
1087,impacts,2
1088,externalization,1
1089,decrease,2
1090,costs,56
1091,someone,687
1092,inbasket,1
1093,conviviality,2
1094,eschews,1
1095,expense,23
1096,businesses,35
1097,wouldnt,592
1098,welcomed,1197
1099,form,44
1100,instructed,26
1101,personalized,27
1102,gate,38
1103,stressful,46
1104,otherwise,402
1105,affordable,414
1106,hardly,120
1107,knew,400
1108,someones,58
1109,your,3872
1110,stopover,31
1111,north,2134
1112,memorial,37
1113,gates,17
1114,chained,1
1115,greenbelt,4
1116,trail,991
1117,clise,1
1118,accomodating,277
1119,messaging,62
1120,details,604
1121,spelled,6
1122,rents,33
1123,out,1421
1124,spares,1
1125,consider,448
1126,delivered,93
1127,whiteboard,4
1128,teacoffee,19
1129,supplies,298
1130,slippers,105
1131,touches,373
1132,mexicanamerican,1
1133,choices,109
1134,groceries,263
1135,santarpios,6
1136,pizza,243
1137,cash,20
1138,worth,613
1139,penny,62
1140,government,19
1141,center,2086
1142,2016,43
1143,means,178
1144,least,317
1145,transfers,13
1146,anywhere,791
1147,bay,439
1148,realized,106
1149,probably,568
1150,drivers,56
1151,grumbled,1
1152,tolls,4
1153,taxiuber,9
1154,fares,15
1155,100,316
1156,reachable,153
1157,answers,97
1158,stuff,453
1159,travelling,288
1160,bothering,17
1161,wants,226
1162,shower,1657
1163,garbage,91
1164,changed,204
1165,pricevalue,4
1166,specially,45
1167,checked,770
1168,midnight,253
1169,900,10
1170,pleased,473
1171,breeze,456
1172,hangers,81
1173,tricky,167
1174,bathtub,86
1175,relatively,222
1176,parents,520
1177,kids,546
1178,school,210
1179,assistance,129
1180,downstair,5
1181,write,85
1182,name,123
1183,board,179
1184,front,1197
1185,stars,294
1186,optimal,20
1187,manage,83
1188,izzis,2
1189,talk,574
1190,manager,213
1191,victoria,308
1192,theyre,123
1193,oven,133
1194,ideal,1030
1195,tram,92
1196,responded,1103
1197,messages,605
1198,property,1145
1199,fan,120
1200,suggestions,903
1201,dinner,765
1202,hints,47
1203,activities,246
1204,relaxed,265
1205,caring,274
1206,crowded,81
1207,overfilled,1
1208,respect,88
1209,comprehensive,64
1210,meaning,30
1211,hall,371
1212,already,506
1213,meal,240
1214,send,120
1215,arm,3
1216,pleasure,696
1217,rail,171
1218,smooth,609
1219,move,384
1220,storage,198
1221,straightforward,103
1222,delayed,285
1223,1130,12
1224,encounter,41
1225,fait,197
1226,sentir,54
1227,très,2033
1228,notre,576
1229,arrivée,147
1230,donné,47
1231,informations,110
1232,quoi,15
1233,faire,94
1234,manger,29
1235,navons,112
1236,manqué,9
1237,rien,43
1238,pendant,42
1239,séjour,504
1240,uncomplicated,89
1241,store,1082
1242,uber,1080
1243,conformable,10
1244,know,1582
1245,negotiate,20
1246,important,435
1247,should,988
1248,travellers,85
1249,one,652
1250,causes,7
1251,explore,1000
1252,foot,453
1253,supermarkets,108
1254,organized,756
1255,properly,128
1256,moving,194
1257,lucky,283
1258,downstairs,448
1259,allowed,681
1260,making,1368
1261,found,2051
1262,purpose,118
1263,specifically,43
1264,columbian,5
1265,greeted,663
1266,dusty,101
1267,kitche,1
1268,soso,4
1269,neighbors,415
1270,reggae,1
1271,party,286
1272,arriving,484
1273,under,346
1274,fare,47
1275,tip,52
1276,open,981
1277,use,448
1278,sadly,58
1279,apple,99
1280,accommodations,874
1281,kitchenware,33
1282,emergency,68
1283,toiletries,552
1284,case,504
1285,youve,79
1286,forgotten,77
1287,yours,28
1288,impression,103
1289,couple,2009
1290,huge,888
1291,luxury,184
1292,tofrom,93
1293,inexpensive,126
1294,ubicación,114
1295,viene,2
1296,desde,32
1297,centro,169
1298,limpieza,44
1299,experiencia,70
1300,ethnically,4
1301,diverse,99
1302,brazillian,2
1303,restaurant,898
1304,oliverias,1
1305,candlepin,1
1306,bowling,5
1307,the,571
1308,original,122
1309,wooden,78
1310,balls,10
1311,alley,108
1312,called,495
1313,central,1244
1314,lanes,4
1315,stocked,970
1316,wish,712
1317,known,106
1318,stuffy,59
1319,luckily,124
1320,windows,726
1321,cold,651
1322,drops,17
1323,youth,6
1324,using,1128
1325,kitchenbath,3
1326,roomliving,2
1327,affluent,7
1328,mainly,88
1329,lack,190
1330,journey,117
1331,proceed,3
1332,stumbled,16
1333,inconveniently,1
1334,placed,131
1335,approx,50
1336,aimer,4
1337,général,10
1338,belle,97
1339,ville,265
1340,lemplacement,35
1341,parfait,140
1342,malheureusement,16
1343,présent,24
1344,lavons,19
1345,tout,483
1346,deux,129
1347,jours,102
1348,généralement,2
1349,assez,55
1350,mais,435
1351,changer,6
1352,draps,32
1353,vous,204
1354,conseil,14
1355,dapporter,4
1356,oreillers,3
1357,aucun,36
1358,problème,74
1359,aussi,104
1360,constantly,91
1361,suggesting,43
1362,informed,143
1363,dude,7
1364,drink,283
1365,tell,335
1366,experiences,251
1367,rapide,33
1368,sommes,122
1369,restés,14
1370,quune,28
1371,nuit,73
1372,chez,282
1373,même,157
1374,espaces,5
1375,communs,5
1376,accueil,144
1377,claires,23
1378,pour,1214
1379,accéder,16
1380,ambiance,54
1381,locataires,17
1382,localisation,25
1383,proche,175
1384,pratique,96
1385,rejoindre,39
1386,centre,1076
1387,depuis,29
1388,laéroport,48
1389,navette,4
1390,bleue,2
1391,recommandons,80
1392,vivement,60
1393,lieu,26
1394,merci,168
1395,encore,41
1396,房间在地下室,1
1397,卫生间干净,1
1398,房主和其他房客都超好人,1
1399,outdated,21
1400,renovation,65
1401,overdue,5
1402,arealocation,1
1403,staircase,167
1404,tiny,286
1405,somebody,37
1406,used,1390
1407,washmachine,3
1408,145,2
1409,conditioning,472
1410,woken,34
1411,often,291
1412,passing,79
1413,face,147
1414,rent,586
1415,lady,158
1416,money,486
1417,abuse,1
1418,expected,1362
1419,says,134
1420,entry,314
1421,con,23
1422,supplied,172
1423,remainder,18
1424,water,1785
1425,neighbour,51
1426,hood,47
1427,sampled,2
1428,cafes,560
1429,mostly,295
1430,meso,1
1431,american,108
1432,john,448
1433,jill,60
1434,scotland,2
1435,tourist,437
1436,site,263
1437,seem,235
1438,tenant,52
1439,figure,145
1440,humid,93
1441,fixtures,51
1442,locates,27
1443,mart,9
1444,fabiana,1
1445,girl,74
1446,roommates,180
1447,aime,6
1448,gens,17
1449,transparaît,1
1450,accueillant,65
1451,donne,27
1452,bonnes,16
1453,indications,50
1454,endroits,18
1455,visiter,109
1456,comme,156
1457,cinq,11
1458,logement,342
1459,laisser,25
1460,voiture,91
1461,stationnée,2
1462,toute,32
1463,semaine,18
1464,cest,177
1465,vrai,20
1466,beaucoup,164
1467,voyageurs,17
1468,plupart,5
1469,save,143
1470,comporter,2
1471,société,2
1472,seul,52
1473,bémol,32
1474,salle,175
1475,bain,160
1476,quatre,5
1477,chambres,95
1478,peut,63
1479,créer,2
1480,bouchons,5
1481,certains,9
1482,moments,54
1483,journée,29
1484,cute,1460
1485,provide,565
1486,recommendations,1200
1487,bars,1244
1488,teach,13
1489,beers,47
1490,maybe,382
1491,father,68
1492,airbb,61
1493,aboit,1
1494,require,61
1495,informative,280
1496,but,286
1497,cornershops,1
1498,procedure,43
1499,conveniant,1
1500,equipped,1442
1501,inboundservice,1
1502,perfecto,44
1503,acorde,3
1504,pactamos,2
1505,explicó,2
1506,perfección,4
1507,llegar,58
1508,cuarto,34
1509,listo,2
1510,cuando,38
1511,llegamos,29
1512,recomendable,61
1513,ground,193
1514,functioning,37
1515,headed,77
1516,bridge,95
1517,wrong,208
1518,exit,57
1519,cause,104
1520,catching,69
1521,flights,357
1522,high,681
1523,volume,7
1524,rate,183
1525,leisure,32
1526,travrlers,1
1527,works,308
1528,sink,266
1529,lamfitrió,1
1530,contestar,3
1531,dels,1
1532,meus,2
1533,emails,403
1534,missatges,1
1535,abans,1
1536,darribar,1
1537,lhabitació,3
1538,descriu,1
1539,lanunci,2
1540,estava,16
1541,neta,3
1542,però,15
1543,zones,5
1544,comuns,1
1545,estaven,1
1546,deixades,1
1547,bona,5
1548,ubicació,1
1549,recent,84
1550,checkincheckout,91
1551,convenientreasonably,1
1552,priced,148
1553,seemed,606
1554,busy,738
1555,sleeping,568
1556,couch,567
1557,looks,814
1558,shown,483
1559,picture,438
1560,conversation,334
1561,understanding,240
1562,housemates,42
1563,letting,298
1564,score,7
1565,peasy,5
1566,findaccess,2
1567,departing,28
1568,thats,616
1569,later,654
1570,anticipated,95
1571,asleep,58
1572,labeled,27
1573,atmosphere,309
1574,ourselves,438
1575,bunch,132
1576,efficient,295
1577,necessary,410
1578,utilities,38
1579,portable,60
1580,blankets,259
1581,exchanged,26
1582,messed,12
1583,page,65
1584,settled,214
1585,call,483
1586,promptly,592
1587,secluded,35
1588,refrigerator,270
1589,clothes,268
1590,coldest,13
1591,degrees,82
1592,celsius,5
1593,extra,1191
1594,pillows,343
1595,talked,119
1596,hospitality,847
1597,choose,397
1598,based,140
1599,profile,48
1600,disappointing,71
1601,showed,879
1602,click,4
1603,communal,61
1604,natural,281
1605,light,1255
1606,loud,514
1607,vent,15
1608,particularly,287
1609,sleeper,237
1610,woke,149
1611,plugs,144
1612,turn,156
1613,heats,3
1614,professionally,78
1615,noise,1311
1616,rosa,39
1617,fresh,1125
1618,drop,424
1619,unbeatable,100
1620,turned,310
1621,hiddent,1
1622,woman,137
1623,watching,172
1624,spare,96
1625,relief,43
1626,slept,747
1627,allez,3
1628,agréable,373
1629,weekend,2023
1630,vast,8
1631,majority,32
1632,lead,46
1633,directly,358
1634,commute,230
1635,convention,804
1636,bus,311
1637,hope,1154
1638,attend,133
1639,year,438
1640,same,931
1641,nite,8
1642,checkinin,1
1643,working,685
1644,class,120
1645,dotted,3
1646,markets,127
1647,provides,393
1648,base,475
1649,disturb,48
1650,responding,276
1651,wrote,65
1652,renters,70
1653,meeting,473
1654,spoke,68
1655,women,45
1656,tried,331
1657,assist,81
1658,not,297
1659,negatively,5
1660,affected,16
1661,hours,863
1662,sticker,16
1663,trying,283
1664,none,111
1665,frustration,10
1666,finally,287
1667,mile,356
1668,pots,97
1669,pans,106
1670,cooking,518
1671,summary,53
1672,stores,825
1673,unit,2016
1674,fivestar,10
1675,resort,20
1676,nine,10
1677,months,233
1678,backpacking,8
1679,thru,48
1680,awful,42
1681,franchise,4
1682,something,733
1683,international,77
1684,lagged,11
1685,interested,171
1686,spending,208
1687,additionally,149
1688,number,421
1689,salvadoran,3
1690,looked,648
1691,cheerful,59
1692,tasty,131
1693,income,7
1694,hispanic,13
1695,section,61
1696,smiling,26
1697,waving,3
1698,locals,139
1699,sitting,241
1700,stoops,2
1701,bnb,125
1702,entirely,66
1703,gives,221
1704,family,3379
1705,interent,1
1706,kindly,283
1707,thankful,110
1708,stranded,11
1709,pricey,54
1710,quality,404
1711,smells,89
1712,animal,25
1713,staton,1
1714,dropping,54
1715,noticed,139
1716,saying,124
1717,pm,27
1718,rush,58
1719,1056,1
1720,observant,2
1721,closing,27
1722,times,1360
1723,brochures,115
1724,maps,476
1725,handy,381
1726,decide,68
1727,hand,357
1728,towel,272
1729,seemingly,21
1730,daily,161
1731,hooks,16
1732,heat,380
1733,slow,135
