,id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,len_name,len_host_about,len_summary,len_description,len_neighborhood_overview,len_transit,count_amenities,count_host_verifications,amenities_wireless internet,amenities_heating,amenities_kitchen,amenities_essentials,amenities_smoke detector,amenities_air conditioning,amenities_tv,amenities_internet,amenities_dryer,amenities_washer,amenities_carbon monoxide detector,amenities_shampoo,amenities_hangers,amenities_family/kid friendly,amenities_laptop friendly workspace,amenities_iron,amenities_hair dryer,amenities_cable tv,amenities_fire extinguisher,amenities_24-hour check-in,amenities_first aid kit,amenities_elevator in building,amenities_buzzer/wireless intercom,amenities_free parking on premises,amenities_pets allowed,amenities_gym,amenities_lock on bedroom door,amenities_safety card,amenities_pets live on this property,amenities_indoor fireplace,amenities_breakfast,amenities_doorman,amenities_dog(s),amenities_cat(s),amenities_hot tub,amenities_pool,amenities_wheelchair accessible,amenities_suitable for events,amenities_smoking allowed,amenities_other pet(s),amenities_free parking on street,amenities_paid parking off premises,amenities_washer / dryer,host_verifications_phone,host_verifications_email,host_verifications_reviews,host_verifications_jumio,host_verifications_kba,host_verifications_facebook,host_verifications_manual_offline,host_verifications_google,host_verifications_linkedin,host_verifications_amex,host_verifications_manual_online,host_verifications_weibo,host_verifications_sent_id
736,4558443,664,"Boston, Massachusetts, United States",within a few hours,100.0,67.0,0,,2,1,1,North End,Boston,02113,Boston,"Boston, MA",0,Apartment,Entire home/apt,2,1.0,0.0,2.0,Real Bed,165.0,25.0,1,0.0,3,More than a week,a week ago,1,11,28,37,22,94.0,9.0,9.0,10.0,10.0,10.0,9.0,0,moderate,0,0,1,1.0,19,53.0,291.0,1000,351.0,85.0,17,4,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
737,4034018,715,"Boston, Massachusetts, United States",within a day,100.0,60.0,1,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,290.0,40.0,1,0.0,1,More than a week,4 weeks ago,0,0,8,283,15,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,0.63,31,418.0,246.0,1000,193.0,128.0,20,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
738,947751,1138,"Boston, Massachusetts, United States",,,,0,North End,1,1,1,North End,Boston,02109,Boston,"Boston, MA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,130.0,,1,15.0,1,More than a week,16 months ago,0,0,0,0,0,,,,,,,,0,strict,0,0,1,,34,606.0,203.0,1000,241.0,159.0,10,4,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
739,2658094,1240,"New York, New York, United States",within an hour,100.0,100.0,0,North End,11,1,0,North End,Boston,02108,Boston,"Boston, MA",1,Apartment,Entire home/apt,6,1.0,2.0,4.0,Real Bed,179.0,95.0,5,25.0,1,More than a week,4 days ago,12,25,46,290,68,86.0,9.0,8.0,9.0,9.0,10.0,9.0,1,strict,0,0,10,2.49,35,263.0,233.0,1000,371.0,60.0,18,3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
740,11229070,1171,"Boston, Massachusetts, United States",within a day,100.0,90.0,0,,2,1,1,North End,Boston,,Boston,"Boston, MA",0,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,95.0,,1,0.0,1,More than a week,a week ago,0,0,0,0,32,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,2,4.87,34,249.0,248.0,1000,281.0,648.0,16,4,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
741,10997047,196,"Boston, Massachusetts, United States",within an hour,100.0,100.0,0,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,152.0,125.0,2,15.0,3,More than a week,today,4,20,50,325,19,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,moderate,0,0,1,3.65,47,95.0,239.0,742,167.0,261.0,17,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
742,3967611,1209,"Boston, Massachusetts, United States",,,,0,North End,1,1,1,North End,Boston,02109,Boston,"Boston, MA",1,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,200.0,50.0,2,15.0,3,More than a week,3 months ago,0,0,0,257,4,90.0,10.0,9.0,9.0,9.0,10.0,10.0,0,strict,0,0,1,0.17,34,230.0,248.0,1000,851.0,1000.0,18,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
743,7080514,799,"Boston, Massachusetts, United States",,,,0,North End,1,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,130.0,,1,0.0,3,More than a week,10 months ago,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,flexible,0,0,1,0.11,27,0.0,174.0,174,0.0,0.0,12,4,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
744,12585455,149,"Boston, Massachusetts, United States",within an hour,100.0,93.0,0,North End,2,1,1,North End,Boston,02113,Boston,"Boston, MA",1,Townhouse,Private room,4,1.5,1.0,4.0,Real Bed,175.0,50.0,2,25.0,1,More than a week,a week ago,6,19,45,320,36,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict,0,0,2,8.12,14,0.0,246.0,1000,1000.0,234.0,24,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
745,4573388,1251,"New York, New York, United States",within an hour,100.0,100.0,0,North End,11,1,0,North End,Boston,02113,Boston,"Boston, MA",1,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,139.0,95.0,4,25.0,1,More than a week,4 days ago,4,15,41,291,47,89.0,9.0,9.0,9.0,9.0,10.0,9.0,1,strict,0,0,10,2.39,32,263.0,462.0,1000,115.0,180.0,14,3,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
